areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09
Bronxwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn,Brooklyn,borough,575000.000,575000.000,572000.000,575000.000,570000.000,554000.000,549000.000,538000.000,529000.000,534000.000,529000.000,546000.000,545000.000,539000.000,549000.000,549000.000,559000.000,550000.000,549000.000,549000.000,550000.000,579995.000,585000.000,595000.000,599000.000,599000.000,615000.000,639000.000,655000.000,649500.000,654000.000,649000.000,625000.000,625000.000,640750.000,599000.000,599000.000,615000.000,629000.000,650000.000,655000.000,649000.000,649000.000,649000.000,657000.000,699000.000,699000.000,659000.000,687000.000,719000.000,749000.000,759500.000,795000.000,800000.000,795000.000,800000.000,870000.000,890000.000,889000.000,899000.000,925000.000,974000.000,981000.000,977000.000,998000.000,980000.000,975000.000,974500.000,974000.000,975000.000,980000.000,995000.000,995000.000,989000.000,995000.000,998700.000,999000.000,999750.000,998700.000,989000.000,995000.000,995000.000,995000.000,990000.000,979000.000,975000.000,975000.000,997950.000,995000.000,995000.000,979900.000,965532.000,950000.000,949000.000,949000.000,925000.000,899000.000,900000.000,910000.000,949000.000,949650.000,900000.000,899000.000,895625.000,900000.000,945000.000,899000.000,879500.000,877000.000,875000.000,888944.000,899000.000,899000.000,900000.000,899000.000,889000.000,899000.000,899000.000,899000.000,899000.000,899000.000,899000.000,905000.000,920000.000,922500.000,949000.000,970000.000,968225.000,975000.000,975000.000,979000.000,951000.000,939000.000,925000.000,945000.000,949000.000,965000.000,950000.000,949000.000,930000.000,949999.000,959000.000,960000.000,949000.000,949000.000,985000.000,995000.000,995000.000,996000.000,999000.000,970000.000,959000.000,975000.000,995000.000,995000.000,931000.000,925000.000,929200.000,925000.000,954800.000,999000.000,996500.000,992450.000,975000.000,995000.000
Brooklyn Heights,Brooklyn,neighborhood,922000.000,910000.000,915000.000,895000.000,907500.000,885000.000,865000.000,857000.000,870000.000,905000.000,915000.000,937500.000,825000.000,820000.000,995000.000,1120000.000,995000.000,1054000.000,999000.000,1054000.000,1054000.000,955000.000,995000.000,955000.000,995000.000,1305000.000,1265000.000,1032500.000,1222500.000,1267000.000,1295000.000,1305000.000,1290000.000,1260000.000,1250000.000,1325000.000,1295000.000,1400000.000,1327500.000,1395000.000,1102500.000,1045000.000,1250000.000,1100000.000,1274500.000,1450000.000,1995000.000,2095000.000,2095000.000,2045000.000,1007000.000,1007250.000,1694500.000,2200000.000,2275000.000,2697500.000,3300000.000,2900000.000,3147500.000,3350000.000,2995000.000,3300000.000,3350000.000,3450000.000,3300000.000,3300000.000,3300000.000,3450000.000,3210000.000,3248000.000,3400000.000,3475000.000,3274000.000,3300000.000,3350000.000,3100000.000,2875000.000,2995000.000,2995000.000,3449000.000,3650000.000,2947500.000,2947500.000,3400000.000,3650000.000,3725000.000,3650000.000,3442500.000,2985000.000,2992000.000,2615000.000,2435000.000,2395000.000,2300000.000,2395000.000,2775000.000,3037500.000,2800000.000,2800000.000,2725000.000,2550000.000,2800000.000,2550000.000,2400000.000,2570000.000,2322500.000,2415000.000,2675000.000,2995000.000,2688888.000,2650000.000,2765000.000,2725000.000,2765000.000,2690000.000,2490000.000,2669500.000,2695000.000,2549000.000,2550000.000,2550000.000,2460000.000,2460000.000,2412500.000,2495000.000,2690000.000,2700000.000,2690000.000,2797000.000,2700000.000,2600000.000,2700000.000,2700000.000,2715000.000,2649000.000,2649000.000,2649000.000,2649000.000,2667000.000,2733000.000,2930000.000,2770000.000,2537500.000,2865000.000,2965000.000,2497500.000,2600000.000,2995000.000,2985000.000,2775000.000,2995000.000,3025000.000,3350000.000,3350000.000,3300000.000,3225000.000,3112500.000,2850000.000,2722500.000,2562500.000,2515000.000,2930000.000,3125000.000,3700000.000,3312500.000
Brookville,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushwick,Brooklyn,neighborhood,369000.000,364000.000,359000.000,330000.000,329000.000,332000.000,339000.000,364000.000,364500.000,364500.000,360000.000,369000.000,369000.000,369000.000,384000.000,399000.000,399000.000,399000.000,384000.000,384000.000,384000.000,369000.000,384000.000,399000.000,465000.000,465000.000,479000.000,529000.000,534000.000,531500.000,499000.000,499000.000,499000.000,465000.000,499000.000,487000.000,487000.000,,,,,,,,,,,,,,,,,,,515000.000,540000.000,515000.000,632000.000,725000.000,733000.000,687000.000,750000.000,750000.000,750000.000,588000.000,550000.000,525000.000,525000.000,499500.000,604500.000,587000.000,575000.000,625000.000,695000.000,695000.000,662500.000,625000.000,625000.000,612000.000,637000.000,675000.000,679000.000,732000.000,817500.000,864500.000,835000.000,867000.000,830000.000,799000.000,739500.000,729000.000,714000.000,715000.000,670000.000,645000.000,675000.000,699000.000,675000.000,660250.000,625000.000,625000.000,645000.000,620000.000,595000.000,595000.000,599000.000,590000.000,590000.000,577500.000,572000.000,575000.000,588000.000,588000.000,590000.000,597000.000,609498.000,634000.000,609000.000,599000.000,694000.000,599999.000,699000.000,644000.000,699000.000,699000.000,690000.000,699000.000,654000.000,647500.000,600000.000,599000.000,599000.000,599000.000,599000.000,570000.000,580000.000,625000.000,637000.000,654500.000,660000.000,692475.000,680475.000,699000.000,767000.000,757500.000,747444.000,669000.000,739000.000,679000.000,659000.000,650000.000,667000.000,699000.000,715000.000,732000.000,707000.000,749000.000,747000.000,720000.000,763500.000,799000.000,799000.000,750000.000,744000.000
Cambria Heights,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie,Brooklyn,neighborhood,,,349000.000,312000.000,280000.000,292500.000,349000.000,349000.000,349000.000,349000.000,349000.000,349000.000,349000.000,349000.000,185000.000,259000.000,259000.000,259000.000,259000.000,259000.000,254000.000,254000.000,249000.000,254000.000,269000.000,297000.000,290000.000,290000.000,290000.000,297000.000,297000.000,295000.000,290000.000,290000.000,,,,,,,329500.000,329500.000,,,,,,,329500.000,,,,319950.000,314450.000,319900.000,327000.000,322450.000,354500.000,364000.000,364000.000,369000.000,354000.000,349000.000,344500.000,340000.000,339000.000,329500.000,329000.000,329000.000,329000.000,324500.000,320000.000,326700.000,326700.000,326700.000,326700.000,325850.000,344000.000,344000.000,344000.000,339000.000,334500.000,345000.000,332500.000,334500.000,299000.000,294500.000,274000.000,309500.000,299000.000,329000.000,325000.000,299000.000,299000.000,299000.000,329000.000,329000.000,334000.000,339000.000,329000.000,329000.000,324500.000,365000.000,372000.000,379000.000,379000.000,399000.000,399000.000,399000.000,399900.000,399450.000,399900.000,,,,359500.000,,359500.000,310000.000,367000.000,365000.000,367000.000,347000.000,,,,,357000.000,369000.000,392000.000,359000.000,352450.000,355000.000,355000.000,,,,379000.000,,374500.000,,,,,,,,,,,,,,,,,,,,,409944.000,400000.000,415000.000,407500.000,372000.000
Carroll Gardens,Brooklyn,neighborhood,771400.000,771400.000,771400.000,675000.000,629000.000,639000.000,639000.000,669500.000,669000.000,669000.000,674500.000,699000.000,699000.000,715775.000,699000.000,696925.000,699000.000,689000.000,659000.000,649000.000,647000.000,659500.000,669000.000,669000.000,639000.000,619000.000,644000.000,649000.000,649000.000,749500.000,824500.000,644000.000,649000.000,1790000.000,1515000.000,1450000.000,1322500.000,1075000.000,1050000.000,949500.000,899000.000,842000.000,924000.000,1024500.000,895000.000,914500.000,895000.000,929000.000,895000.000,1022500.000,895000.000,775000.000,849000.000,1050000.000,1129000.000,1000000.000,1200000.000,1350000.000,1300000.000,1350000.000,1500000.000,1900000.000,1695000.000,1690000.000,1697500.000,1500000.000,1499000.000,1495000.000,1500000.000,1450000.000,1500000.000,1642000.000,1700000.000,1500000.000,1700000.000,1692500.000,1499000.000,1399000.000,1442000.000,1255000.000,1547500.000,1225000.000,1448500.000,1524000.000,1586500.000,2150000.000,1775000.000,1762500.000,1395000.000,1373500.000,1399000.000,1425000.000,1550000.000,1895000.000,1850000.000,1949500.000,2049000.000,2085000.000,1645000.000,1499000.000,1499000.000,1499000.000,1650000.000,1695000.000,1387500.000,1649000.000,1638000.000,1475000.000,1525000.000,1525000.000,1498000.000,1362500.000,1380000.000,1537500.000,1495000.000,1497500.000,1500000.000,1472500.000,1500000.000,1500000.000,1625000.000,1625000.000,1675000.000,1937500.000,1747500.000,1650000.000,1610000.000,1550000.000,1390000.000,1398000.000,1500000.000,1500000.000,1525000.000,1550000.000,1750000.000,1662500.000,1624500.000,1497500.000,1495000.000,1442500.000,1575000.000,1875000.000,2195000.000,2195000.000,2000000.000,1999000.000,2000000.000,1750000.000,2457500.000,2230000.000,1850000.000,2087500.000,1700000.000,1812500.000,1775000.000,1750000.000,1775000.000,1822500.000,1785000.000,1795000.000,1775000.000,1725000.000,1725000.000,1885000.000,2475000.000
Castle Hill,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Harlem,Manhattan,neighborhood,724500.000,714500.000,739000.000,725000.000,679000.000,650000.000,639000.000,639000.000,667000.000,631000.000,624500.000,635000.000,620000.000,609000.000,625000.000,599000.000,595000.000,604000.000,585000.000,599000.000,619500.000,621500.000,624000.000,615000.000,599000.000,609500.000,612500.000,622500.000,639000.000,599000.000,602500.000,600000.000,599000.000,600000.000,602500.000,600000.000,565000.000,517000.000,499000.000,515000.000,540000.000,595000.000,599000.000,599000.000,620000.000,737000.000,717000.000,749000.000,825000.000,797500.000,829000.000,823000.000,797000.000,880000.000,890000.000,875000.000,900000.000,962500.000,995000.000,999500.000,931500.000,882500.000,895000.000,882500.000,875000.000,860000.000,890000.000,950000.000,945450.000,937000.000,929000.000,949000.000,909500.000,910000.000,950000.000,999900.000,997500.000,997000.000,1099500.000,997000.000,949000.000,952500.000,964500.000,969000.000,988000.000,1014250.000,1099000.000,1100000.000,1099000.000,1100000.000,1100000.000,1100000.000,1099000.000,1012000.000,975000.000,988000.000,965000.000,977500.000,995000.000,989000.000,939000.000,929000.000,995000.000,997000.000,997000.000,950000.000,1045000.000,1000000.000,955000.000,995000.000,990000.000,996500.000,998000.000,1035000.000,995000.000,966500.000,962500.000,998000.000,978500.000,978500.000,999400.000,998000.000,984000.000,998000.000,970000.000,999000.000,1079000.000,1100000.000,1097500.000,1079000.000,1120000.000,1077000.000,999000.000,1075000.000,1075000.000,999500.000,992500.000,995000.000,997000.000,1050000.000,1147000.000,1095000.000,1100000.000,1125000.000,1150000.000,1144500.000,1148500.000,1080000.000,1095000.000,1037500.000,999000.000,949000.000,982450.000,969500.000,950000.000,964750.000,977500.000,960000.000,962500.000,959500.000,965000.000,995000.000,987500.000,1095000.000,1062500.000
